,EPI,country
855,49.65,Cambodia2011
856,52.28,Cameroon2011
857,84.34,Canada2011
858,52.17,Cape Verde2011
859,43.84,Central African Republic2011
860,36.58,Chad2011
861,78.71,Chile2011
862,65.25,China2011
863,76.7,Colombia2011
864,46.46,Comoros2011
865,80.81,Costa Rica2011
866,58.48,Cote d'Ivoire2011
867,82.94,Croatia2011
868,78.01,Cuba2011
869,79.4,Cyprus2011
870,84.53,Czech Republic2011
871,88.99,Denmark2011
872,39.07,Djibouti2011
873,75.69,Dominican Republic2011
874,67.92,Ecuador2011
875,66.06,Egypt2011
876,69.13,El Salvador2011
877,69.06,Equatorial Guinea2011
878,33.62,Eritrea2011
879,87.85,Estonia2011
880,41.34,Ethiopia2011
881,73.52,Fiji2011
882,90.52,Finland2011
883,86.61,France2011
884,67.09,Gabon2011
885,61.85,Georgia2011
886,84.47,Germany2011
887,57.21,Ghana2011
888,83.12,Greece2011
889,61.21,Grenada2011
890,68.49,Guatemala2011
891,52.54,Guinea2011
892,68.89,Guyana2011
893,40.98,Haiti2011
894,67.9,Honduras2011
895,81.07,Hungary2011
896,90.17,Iceland2011
897,53.75,India2011
898,63.9,Indonesia2011
899,63.9,Iran2011
900,60.56,Iraq2011
901,87.85,Ireland2011
902,83.62,Italy2011
903,76.18,Jamaica2011
904,79.55,Japan2011
905,69.39,Jordan2011
906,71.96,Kazakhstan2011
907,60.45,Kenya2011
908,56.04,Kuwait2011
909,72.0,Kyrgyz Republic2011
910,48.24,Laos2011
911,84.74,Latvia2011
912,67.49,Lebanon2011
913,44.3,Lesotho2011
914,41.96,Liberia2011
915,61.65,Libya2011
916,83.27,Lithuania2011
917,86.28,Luxembourg2011
918,74.35,Macedonia2011
919,34.5,Madagascar2011
920,45.31,Malawi2011
921,78.03,Malaysia2011
922,56.49,Maldives2011
923,38.35,Mali2011
924,86.02,Malta2011
925,43.36,Mauritania2011
926,72.12,Mauritius2011
927,72.94,Mexico2011
928,75.32,Moldova2011
929,62.87,Mongolia2011
930,76.5,Montenegro2011
931,71.66,Morocco2011
932,39.14,Mozambique2011
933,48.41,Myanmar2011
934,69.56,Namibia2011
935,48.36,Nepal2011
936,81.29,Netherlands2011
937,90.14,New Zealand2011
938,63.12,Nicaragua2011
939,34.79,Niger2011
940,54.94,Nigeria2011
941,87.19,Norway2011
942,58.64,Oman2011
943,51.24,Pakistan2011
944,77.93,Panama2011
945,45.53,Papua New Guinea2011
946,68.79,Paraguay2011
947,71.42,Peru2011
948,71.77,Philippines2011
949,78.66,Poland2011
950,87.68,Portugal2011
951,68.88,Qatar2011
952,79.54,Romania2011
953,81.94,Russia2011
954,50.04,Rwanda2011
955,67.38,Samoa2011
956,45.5,Sao Tome and Principe2011
957,69.6,Saudi Arabia2011
958,64.08,Senegal2011
959,75.38,Serbia2011
960,67.44,Seychelles2011
961,41.88,Sierra Leone2011
962,89.8,Singapore2011
963,86.31,Slovenia2011
964,44.26,Solomon Islands2011
965,26.16,Somalia2011
966,67.96,South Africa2011
967,70.79,South Korea2011
968,87.6,Spain2011
969,64.18,Sri Lanka2011
970,41.35,Sudan2011
971,70.18,Suriname2011
972,59.5,Swaziland2011
973,89.24,Sweden2011
974,87.25,Switzerland2011
975,62.89,Syria2011
976,72.23,Tajikistan2011
977,56.02,Tanzania2011
978,69.05,Thailand2011
979,53.65,Timor-Leste2011
980,43.55,Togo2011
981,76.37,Trinidad and Tobago2011
982,76.21,Tunisia2011
983,65.29,Turkey2011
984,70.91,Turkmenistan2011
985,55.57,Uganda2011
986,77.2,Ukraine2011
987,70.52,United Arab Emirates2011
988,87.78,United Kingdom2011
989,65.85,Uzbekistan2011
990,77.69,Venezuela2011
991,47.87,Yemen2011
992,62.95,Zambia2011
993,59.0,Zimbabwe2011
994,37.29,Afghanistan2010
995,70.71,Albania2010
996,71.46,Algeria2010
997,49.3,Angola2010
998,66.44,Antigua and Barbuda2010
999,79.49,Argentina2010
1000,79.17,Armenia2010
1001,87.57,Australia2010
1002,85.09,Austria2010
1003,81.85,Azerbaijan2010
1004,69.12,Bahrain2010
1005,42.19,Bangladesh2010
1006,53.74,Barbados2010
1007,79.55,Belarus2010
1008,78.47,Belgium2010
1009,73.2,Belize2010
1010,41.26,Benin2010
1011,63.13,Bhutan2010
1012,70.22,Bolivia2010
1013,60.87,Bosnia and Herzegovina2010
1014,70.06,Botswana2010
1015,79.04,Brazil2010
