,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
246,6.8,8.0,8.4,7.0,6.4,6.4,82.2,7.8,5.6,7.2,5.9,5.8,6.9,Kyrgyz Republic2015
247,6.0,8.3,6.3,5.5,6.9,7.4,84.4,9.0,7.7,8.1,7.1,5.6,6.6,Laos2015
248,3.5,4.3,7.4,4.0,4.6,4.4,48.5,3.9,3.4,3.0,3.4,2.9,3.8,Latvia2015
249,8.8,9.3,8.6,5.9,5.7,5.4,88.1,7.8,5.4,7.2,5.7,9.1,9.2,Lebanon2015
250,5.6,7.3,4.4,8.3,7.3,7.4,79.9,6.4,8.0,4.8,7.7,4.9,7.8,Lesotho2015
251,6.9,8.3,6.2,8.6,8.3,6.6,97.3,7.3,9.7,6.7,9.5,9.2,10.0,Liberia2015
252,9.3,9.1,7.8,8.0,6.1,6.4,95.3,9.8,7.5,9.0,5.4,7.4,9.5,Libya2015
253,3.0,3.0,4.3,5.0,5.0,4.2,43.0,3.2,4.0,2.4,3.3,2.6,3.0,Lithuania2015
254,2.0,3.4,3.1,1.5,1.5,2.1,22.1,1.3,1.3,1.0,1.7,1.7,1.6,Luxembourg2015
255,5.4,7.0,7.0,5.7,5.6,5.5,64.5,5.5,4.4,3.9,3.3,5.3,5.9,Macedonia2015
256,7.1,7.6,4.6,7.6,8.5,6.1,83.6,7.2,9.1,6.1,8.5,3.9,7.3,Madagascar2015
257,4.8,7.7,5.4,8.6,8.4,8.1,86.9,6.9,7.8,6.2,8.8,6.1,8.1,Malawi2015
258,6.8,6.5,6.2,3.6,5.3,4.5,65.9,6.9,4.7,7.2,5.8,4.2,4.2,Malaysia2015
259,6.1,7.8,4.6,6.4,4.1,5.6,74.3,8.5,6.1,7.5,5.8,4.7,7.0,Maldives2015
260,8.7,4.9,7.6,8.2,7.4,8.4,92.9,6.0,9.0,6.7,9.1,7.8,9.3,Mali2015
261,3.4,2.0,3.9,4.2,2.9,4.0,40.9,3.9,2.3,3.3,2.8,4.6,3.6,Malta2015
262,7.4,8.8,6.9,8.0,7.1,6.3,94.9,7.9,8.9,8.0,8.6,8.5,8.5,Mauritania2015
263,2.8,3.2,3.8,4.7,4.3,4.2,45.2,3.5,3.8,3.4,4.1,2.2,5.2,Mauritius2015
264,8.0,5.1,6.4,4.6,6.6,5.8,71.9,5.9,6.8,6.5,6.2,4.4,5.5,Mexico2015
265,6.6,7.8,6.5,6.3,5.3,6.4,73.0,6.3,5.4,5.4,5.3,4.4,7.3,Moldova2015
266,4.0,5.5,4.3,4.3,6.4,3.1,57.0,4.5,5.7,4.8,5.5,2.4,6.5,Mongolia2015
267,4.0,6.3,7.3,4.6,2.9,3.6,54.2,4.0,3.6,4.2,3.3,4.5,5.9,Montenegro2015
268,5.7,6.6,7.1,5.3,6.3,7.6,74.6,6.5,5.7,7.0,5.5,5.3,6.0,Morocco2015
269,7.0,6.9,5.9,7.8,8.6,7.4,86.9,7.2,9.0,6.1,8.7,5.0,7.3,Mozambique2015
270,8.3,8.3,9.7,6.5,8.2,5.7,94.7,9.0,8.6,8.3,6.8,8.3,7.0,Myanmar2015
271,4.9,3.5,5.9,7.1,8.1,6.5,70.8,3.8,7.3,4.3,7.0,5.5,6.9,Namibia2015
272,7.0,8.3,9.1,6.8,7.5,7.0,90.5,7.1,7.1,7.7,7.9,7.6,7.4,Nepal2015
273,1.8,2.6,3.9,3.4,2.7,2.6,26.9,1.0,1.5,1.0,3.0,2.1,1.2,Netherlands2015
274,1.1,1.1,4.1,3.9,2.8,2.1,22.6,0.5,1.9,1.0,1.9,1.1,1.1,New Zealand2015
275,5.6,6.8,6.5,6.2,7.9,8.1,79.0,7.3,7.2,5.3,6.2,4.6,7.3,Nicaragua2015
276,8.7,8.9,7.5,8.2,8.4,6.9,97.8,7.5,9.3,6.8,9.6,7.9,8.1,Niger2015
277,9.9,9.8,9.9,7.6,8.8,7.1,102.5,9.1,9.1,8.8,8.8,7.5,6.0,Nigeria2015
278,2.5,1.1,3.7,1.7,2.0,1.6,20.9,0.4,1.4,1.3,2.0,1.9,1.2,Norway2015
279,4.7,6.6,3.0,4.5,4.2,1.9,52.0,6.6,3.8,7.5,5.0,2.0,2.2,Oman2015
