,DP,EI,EPI,Economy,FE,FSI,GDP,GDPpc,GG,HFBD,HR,LandArea,PS,Pop,PopDensity,PopGrowthRate,RI,SA,SDGI,SL,country
69,6.5,7.6,62.2,6.4,6.9,78.7,79.33043971,8389.604574,8.0,4.2,7.9,88780.0,4.2,9.455802,106.5082451,3.185854645,9.6,5.7,66.0,6.3,Jordan
70,4.5,4.2,54.56,6.4,7.6,65.9,417.217,23443.06624,7.6,3.6,7.3,2699700.0,4.0,17.797032,6.592225803,1.431250879,3.0,5.2,71.1,8.3,Kazakhstan
71,8.9,8.1,47.25,6.9,8.9,96.4,141.779,2925.59669,8.9,7.6,7.0,569140.0,8.0,48.461567,85.14876305,2.560925398,8.3,8.3,54.9,7.6,Kenya
72,5.0,4.8,62.28,3.0,7.8,58.5,279.068,68861.74352,4.7,3.6,7.9,17820.0,2.6,4.052584,227.4177329,2.924206194,3.5,4.2,62.4,7.2,Kuwait
73,7.3,6.1,42.94,5.2,8.3,82.4,38.75592581,5734.522274,6.6,7.7,7.9,230800.0,7.0,6.758353,29.28229203,1.406426845,5.1,5.5,61.4,9.1,Laos
74,2.9,3.9,66.12,3.5,4.3,46.4,46.49657079,23717.60945,8.0,4.8,2.8,62180.0,2.9,1.960424,31.52820843,-0.868629779,2.8,3.0,75.2,3.4,Latvia
75,5.6,9.1,61.08,6.4,9.3,88.2,79.69578445,13267.8857,8.5,5.0,7.4,10230.0,5.7,6.006668,587.1620723,2.617573568,9.3,8.7,64.9,7.6,Lebanon
76,8.5,7.8,33.78,8.1,7.3,81.7,6.03043638,2736.354895,3.9,8.0,5.0,30360.0,8.1,2.203821,72.58962451,1.332723919,4.8,6.2,53.0,5.9,Lesotho
77,9.0,9.3,41.62,8.1,8.3,93.8,3.476780367,753.557379,5.8,7.2,6.5,96320.0,9.3,4.613823,47.9009863,2.50636265,8.7,6.4,42.8,6.8,Liberia
78,2.8,4.0,69.33,4.5,3.0,41.7,80.14887985,27904.09625,4.4,4.4,2.5,62650.0,3.5,2.872298,45.84673583,-1.129000251,2.3,3.1,73.6,2.7,Lithuania
79,1.6,1.1,79.12,1.2,3.4,23.4,55.24532687,94764.97477,3.1,2.1,1.0,2590.0,2.1,0.582972,225.0857143,2.319777521,3.5,1.7,75.0,1.0,Luxembourg
80,3.3,6.0,61.06,5.8,7.3,66.1,27.16968015,13054.77697,6.9,5.2,3.8,25220.0,3.9,2.081206,82.522046,0.091238733,7.3,5.6,69.4,5.8,Macedonia
81,9.1,6.8,33.73,7.6,7.8,84.0,34.76946297,1396.669615,4.1,6.7,5.6,581800.0,9.1,24.894551,42.78884668,2.688870712,3.9,7.1,43.5,7.1,Madagascar
82,9.7,8.2,49.21,8.4,8.1,88.0,19.60767469,1083.801421,5.6,7.9,6.2,94280.0,8.6,18.091575,191.8919707,2.904818605,5.8,4.8,48.0,6.4,Malawi
83,5.3,3.8,59.22,3.1,6.8,65.4,800.542,25668.87478,6.5,5.0,8.0,328550.0,4.2,31.187265,94.92395374,1.499323358,3.7,6.3,69.7,7.7,Malaysia
84,8.5,9.4,43.71,7.7,4.9,92.9,35.46934392,1971.08448,7.4,8.5,7.3,1220190.0,8.8,17.994837,14.74756964,2.971968633,7.9,9.0,48.5,6.1,Mali
85,2.5,3.3,80.9,4.0,2.0,38.6,15.61795686,35743.36671,3.9,3.7,3.0,320.0,2.0,0.436947,1365.459375,1.167802724,4.4,3.6,77.0,3.6,Malta
86,8.7,8.0,39.24,7.7,8.8,93.7,15.36444295,3572.28055,7.0,6.9,7.9,1030700.0,9.0,4.301018,4.172909673,2.798060125,8.0,6.9,51.1,8.0,Mauritania
87,3.6,4.7,56.63,4.0,3.2,41.7,24.72299486,19567.48966,3.6,4.4,3.4,2030.0,3.3,1.263473,622.4004926,0.068723138,2.7,2.3,62.1,3.0,Mauritius
88,6.1,5.5,59.69,4.9,5.4,74.3,2146.82,16832.4673,7.2,5.8,6.5,1943950.0,6.8,127.540423,65.60890095,1.301730941,5.1,8.4,69.1,6.5,Mexico
89,4.8,7.4,51.97,6.4,8.3,72.0,17.56228027,4944.335661,7.3,6.6,4.9,32870.0,4.9,3.552,123.5587139,-0.059329244,3.9,6.1,74.2,6.6,Moldova
